OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,NULLABLE
LIB,TB_BOOK_INFO,1,BOOK_ID,VARCHAR2,20,N
LIB,TB_BOOK_INFO,2,BOOK_TTL,VARCHAR2,300,N
LIB,TB_BOOK_INFO,3,AUT_NM,VARCHAR2,100,Y
LIB,TB_BOOK_INFO,4,PBLCO_NM,VARCHAR2,100,Y
LIB,TB_BOOK_INFO,5,CLSF_CD,VARCHAR2,10,N
LIB,TB_BOOK_INFO,6,HLD_QTY,NUMBER,5,N
LIB,TB_BOOK_INFO,7,BRCH_CD,VARCHAR2,10,N
LIB,TB_BOOK_INFO,8,USE_YN,CHAR,1,N
LIB,TB_BOOK_INFO,9,REG_DT,DATE,7,N
LIB,TB_LOAN_HSTRY,1,LOAN_NO,VARCHAR2,20,N
LIB,TB_LOAN_HSTRY,2,BOOK_ID,VARCHAR2,20,N
LIB,TB_LOAN_HSTRY,3,MBR_ID,VARCHAR2,20,N
LIB,TB_LOAN_HSTRY,4,LOAN_YMD,VARCHAR2,8,N
LIB,TB_LOAN_HSTRY,5,DUE_YMD,VARCHAR2,8,N
LIB,TB_LOAN_HSTRY,6,RTN_YMD,VARCHAR2,8,Y
LIB,TB_LOAN_HSTRY,7,ARG_YN,CHAR,1,N
LIB,TB_LOAN_HSTRY,8,ARG_AMT,NUMBER,15,Y
LIB,TB_LOAN_HSTRY,9,PRCS_STTS_CD,VARCHAR2,4,N
LIB,TB_RSVT_MST,1,RSVT_NO,VARCHAR2,20,N
LIB,TB_RSVT_MST,2,MBR_ID,VARCHAR2,20,N
LIB,TB_RSVT_MST,3,BOOK_ID,VARCHAR2,20,N
LIB,TB_RSVT_MST,4,RSVT_YMD,VARCHAR2,8,N
LIB,TB_RSVT_MST,5,APRV_YN,CHAR,1,N
LIB,TB_RSVT_MST,6,RTRCN_RSN_CN,VARCHAR2,2000,Y
LIB,TB_EMP_INFO,1,EMP_NO,VARCHAR2,20,N
LIB,TB_EMP_INFO,2,EMP_NM,VARCHAR2,100,N
LIB,TB_EMP_INFO,3,DEPT_CD,VARCHAR2,10,N
LIB,TB_EMP_INFO,4,CNPL,VARCHAR2,20,Y
LIB,TB_EMP_INFO,5,BRDT,VARCHAR2,8,Y
LIB,TB_EMP_INFO,6,GNDR_CD,VARCHAR2,4,Y
LIB,TB_EMP_INFO,7,PIC_YN,CHAR,1,N
ETC,TB_QWE_RTY,1,QWE_KEY,VARCHAR2,30,N
ETC,TB_QWE_RTY,2,RTY_VAL,VARCHAR2,100,Y
ETC,TB_QWE_RTY,3,QWE_NM,VARCHAR2,100,Y
