물리명,논리명
TB_ABC_MST,고객마스터
TB_INST_MST,기관마스터
TB_ORG,조직
MISM, 무수
TB_USER_MST,사용자마스터
TB_DVC_MST,장비마스터
TB_EMRG_MST,응급마스터
TB_SVC_APLY_MST,서비스신청마스터
TB_CARECALL_LOG,케어콜로그
TB_ATHR_MAP,권한매핑
TB_CMMN_CD,공통코드
TB_ITEM_BAS,품목기본
CUST_ID,고객아이디
CUST_NM,고객명
EMRG_NO,응급번호
DVC_NO,장비번호
APLY_NO,신청번호
INST_ID,기관아이디
ORG_ID,조직아이디
USER_ID,사용자아이디
RPRT_NO,보고서번호
REFUSE_REASON,반려사유
ED_YN,종결여부
U119_LNKG_YN,119연계여부
U119_LNKG_NO,119연계번호
LNGTM_ABSNC_YN,장기부재여부
UPPER_ORG_ID,상위조직아이디
CUST,고객
EMRG,응급
DVC,장비
INST,기관
CARECALL,케어콜
ATHR,권한
SPEC,특별관리
RPRT,보고서
SBMSN,제출
STOK,재고
LNGTM,장기
ABSNC,부재
RCPT,접수
PRCS,처리
APRV,승인
REFUSE,반려
U119,119
GW,게이트웨이
MAKR,제조사
BTRY,배터리
SENSR,센서
CMNC,통신
RMVL,철거
INSTL,설치
STAT,통계
SUMM,집계
YY,연도
TGT,대상
AVRG,평균
MOD,수정
CANCL,취소
DE,일자
BGNDE,시작일자
ENDDE,종료일자
TY,유형
SEX,성별
ED,종결
AS,사후관리
VISIT,방문
LOGIN,로그인
ORG,조직
MAP,매핑
CHNG,변경
BFCHNG,변경전
AFCHNG,변경후
STEP,단계
EXEC,실행
ALARM,알람
LVL,수준
DSES,질병
CHRGR,담당자
REASON,사유
RESN,사유
HIST,이력
FMLY,가족
BIZRNO,사업자등록번호
RPRSNTV,대표자
SIDO,시도
DESC,설명
PASSWD,비밀번호
AUTHOR,작성자
POSITN,직위
LOCK,잠금
SRLNO,일련번호
UNTPC,단가
SAFE,안전
INVNTRY,재고
HOSP,병원
COST,비용
SEND,발송
SCND,초
AI,인공지능
CONECT,연결
SCSS,성공
DC,할인
CMMN,공통
CMM,공통
GRANT,부여
READ,읽기
WRITE,쓰기
WRK,작업
REF1,참조1
REF2,참조2
REF3,참조3
